feature 2;cg12045430;WASH5P
feature 196926;cg08549335;ZNRF2
feature 147773;cg14693941;DOCK2
feature 16705;cg18124737;TMCO2
feature 98624;cg18130622;null
feature 164161;cg17772649;C6orf25
feature 409923;cg03366986;null
feature 262477;cg09964326;FGFBP3
feature 98639;cg21413797;null
feature 213325;cg03480067;C7orf33
feature 196940;cg26752613;NOD1
feature 360789;cg27280396;RORA
feature 246098;cg10531986;FNBP1
feature 278864;cg15663092;WEE1
feature 65876;cg08566455;null
feature 49495;cg04618171;HPCAL1
feature 475472;cg16890879;ARX
feature 49499;cg15773312;HPCAL1
feature 409947;cg03936495;TBX4
feature 131425;cg25623727;FBXL7
feature 147812;cg22733438;null
feature 377187;cg15311711;SCNN1G
feature 213355;cg25042258;CUL1
feature 246127;cg14588406;GPR107
feature 365;cg17021880;AGRN
feature 229741;cg09043127;PKIA
feature 180589;cg27437222;ARHGAP18
feature 131455;cg16182986;MARCH11
feature 344453;cg00917373;null
feature 475526;cg02369904;MAGEB6
feature 295302;cg04552585;null
feature 475525;cg16122592;MAGEB6
feature 98693;cg00329270;KY
feature 377216;cg03856411;COG7
feature 246149;cg14405592;null
feature 475520;cg06431611;MAGEB6
feature 377231;cg27196102;COG7
feature 180622;cg18798995;L3MBTL3
feature 115084;cg13323912;SLAIN2
feature 393622;cg08823767;ATP2A3
feature 377237;cg06184926;GGA2
feature 360852;cg01184271;C2CD4B
feature 377232;cg05325390;COG7
feature 65943;cg21940081;IMP4
feature 246168;cg06289583;null
feature 328101;cg10021724;null
feature 82338;cg04377609;null
feature 459171;cg20250988;CDH4
feature 33189;cg12034297;ATP1A4
feature 147877;cg26513304;KCNIP1
feature 197034;cg08913410;null
feature 295342;cg14498291;AMOTL1
feature 475560;cg15213782;null
feature 328117;cg23718462;null
feature 328116;cg25366582;null
feature 344500;cg21890551;null
feature 459190;cg17814028;CDH4
feature 65968;cg24068126;null
feature 98739;cg05261893;EPHB1
feature 459187;cg10754505;CDH4
feature 49589;cg26096190;null
feature 131511;cg18388240;MYO10
feature 164279;cg16730737;CLIC1
feature 115126;cg00372132;FRYL
feature 98748;cg07149179;EPHB1
feature 197053;cg26560895;INMT
feature 459193;cg07201996;CDH4
feature 98750;cg24984506;null
feature 33216;cg13109911;PEA15
feature 311749;cg06714180;HOXC4
feature 459205;cg16928869;CDH4
feature 16834;cg03017091;RIMS3
feature 393666;cg23445114;null
feature 33221;cg08897054;DCAF8
feature 147909;cg17782848;KCNIP1
feature 246212;cg13931725;null
feature 295363;cg26123912;null
feature 278989;cg02175291;null
feature 311758;cg23047434;HOXC4
feature 164302;cg21091985;null
feature 147918;cg11953015;KCNIP1
feature 16845;cg24265747;RIMS3
feature 377288;cg04454391;NDUFAB1
feature 82382;cg11084334;LHFPL4
feature 360916;cg18931850;null
feature 344532;cg07544451;SNAPC1
feature 459221;cg05824387;CDH4
feature 344540;cg18973778;SNAPC1
feature 311768;cg15718289;HOXC4
feature 82397;cg19864002;null
feature 66019;cg00056074;null
feature 82415;cg13546514;MTMR14
feature 229869;cg06728098;MRPS28
feature 377335;cg00584422;ERN2
feature 442868;cg07455685;PVR
feature 66034;cg17177632;AMER3
feature 197110;cg12918460;GHRHR
feature 410108;cg14311523;MRC2
feature 328185;cg01147367;MTMR6
feature 246271;cg14270612;ABL1
feature 66049;cg07794384;AMER3
feature 410119;cg02314166;MRC2
feature 426503;cg05278822;NDUFS7
feature 475652;cg11616438;GK
feature 115204;cg14500801;null
feature 475650;cg07051162;GK
feature 49674;cg21546821;null
feature 33293;cg26875665;NHLH1
feature 197142;cg21619594;ADCYAP1R1
feature 197141;cg04879561;ADCYAP1R1
feature 147994;cg25950112;null
feature 377372;cg09108394;PRKCB
feature 164376;cg10158997;VWA7
feature 311839;cg21493516;HOXC4
feature 16923;cg07906262;KCNQ4
feature 426522;cg00308133;GAMT
feature 164383;cg00848392;VWA7
feature 147999;cg19861741;null
feature 16925;cg23109867;KCNQ4
feature 328218;cg26153234;ATP8A2
feature 262694;cg17743250;CYP26C1
feature 148001;cg18705773;null
feature 279072;cg00788156;LYVE1
feature 246311;cg13921605;FIBCD1
feature 33319;cg19261127;VANGL2
feature 262700;cg05193369;CYP26C1
feature 426540;cg01102013;DAZAP1
feature 246313;cg01120874;FIBCD1
feature 295471;cg08427067;null
feature 377399;cg16678467;CACNG3
feature 475701;cg04217946;DMD
feature 16948;cg18155101;null
feature 148023;cg20168709;NPM1
feature 98873;cg15184386;SLC35G2
feature 279101;cg16014606;MRVI1
feature 98877;cg17828689;SLC35G2
feature 361017;cg09392381;null
feature 426552;cg13996397;DAZAP1
feature 229954;cg11608558;null
feature 426567;cg01863319;DAZAP1
feature 361024;cg09610163;TLN2
feature 33351;cg01710351;SLAMF1
feature 361036;cg04438661;null
feature 311886;cg02021442;FLJ12825
feature 426573;cg23311195;DAZAP1
feature 328265;cg03107235;ATP8A2
feature 475721;cg20034238;DMD
feature 66135;cg26382586;ARHGEF4
feature 393820;cg06618629;SPNS2
feature 377439;cg08811227;null
feature 426589;cg10736337;RPS15
feature 410205;cg17041511;null
feature 475739;cg04535803;null
feature 311896;cg09765906;FLJ12825
feature 442969;cg06720949;NECTIN2
feature 475750;cg03608855;FAM47A
feature 213601;cg16966315;null
feature 442991;cg19514613;APOE
feature 295534;cg23912098;MAML2
feature 148079;cg25085969;FGF18
feature 311924;cg16345213;null
feature 246384;cg01185470;null
feature 164465;cg24025008;VARS
feature 393841;cg01808912;MYBBP1A
feature 98934;cg20566970;null
feature 180863;cg02068351;STX7
feature 197249;cg02959486;null
feature 426627;cg06346838;APC2
feature 230022;cg01962077;FABP5
feature 475778;cg03842291;TMEM47
feature 393857;cg03835038;null
feature 377486;cg08067346;ARHGAP17
feature 328341;cg11508437;null
feature 180886;cg23887102;TAAR6
feature 393874;cg01339704;SMTNL2
feature 98965;cg10343742;SOX14
feature 180887;cg06374472;TAAR6
feature 426640;cg08958549;APC2
feature 262812;cg25314624;CEP55
feature 17050;cg19619003;null
feature 344729;cg16725974;SYNE2
feature 33437;cg01423643;F11R
feature 98972;cg11630154;SOX14
feature 148125;cg03564931;FBXW11
feature 361125;cg06240173;RPS27L
feature 262821;cg24249916;FFAR4
feature 148131;cg04973915;FBXW11
feature 66210;cg04699668;null
feature 115365;cg14966236;null
feature 230052;cg16328319;FABP9
feature 197291;cg24386135;null
feature 262829;cg25497250;FFAR4
feature 246440;cg22466590;UCK1
feature 393898;cg04492459;null
feature 49837;cg22811233;null
feature 98988;cg23508813;null
feature 443048;cg08536835;CLPTM1
feature 344746;cg10018167;SYNE2
feature 279222;cg14158968;GALNT18
feature 98996;cg27175819;null
feature 230068;cg11231240;null
feature 33465;cg11514184;USF1
feature 66232;cg07022640;null
feature 698;cg17510786;TTLL10
feature 33466;cg06034822;USF1
feature 344766;cg08130912;SYNE2
feature 262840;cg20633956;RBP4
feature 213692;cg11069470;null
feature 410310;cg18615184;TACO1
feature 66247;cg04128718;NOC2LP2
feature 131787;cg26227411;CDH12
feature 213706;cg08131100;KRBA1
feature 17097;cg00861010;null
feature 426699;cg02300825;REEP6
feature 262858;cg19635695;PDE6C
feature 246477;cg13689629;null
feature 361162;cg08638876;APH1B
feature 82641;cg18215716;EMC3
feature 33490;cg03166324;NECTIN4
feature 475859;cg02639619;FAM47C
feature 328401;cg05173758;GPR12
feature 213723;cg25793051;null
feature 730;cg19237691;TNFRSF18
feature 180952;cg11877577;RPS12
feature 377560;cg07976787;null
feature 246494;cg14335142;null
feature 734;cg06097659;TNFRSF18
feature 33505;cg08785274;KLHDC9
feature 99045;cg14775286;DZIP1L
feature 747;cg15924570;null
feature 295656;cg13561477;CNTN5
feature 246509;ch.9.2285199R;MED27
feature 82674;cg13047869;FANCD2OS
feature 82679;cg18621852;FANCD2OS
feature 82681;cg13560548;FANCD2OS
feature 262909;cg13361703;SLC35G1
feature 33531;cg19588863;DEDD
feature 33533;cg27229962;DEDD
feature 17150;cg16549694;HIVEP3
feature 33537;cg26065919;DEDD
feature 344838;cg00834319;ZBTB25
feature 180998;cg21390624;EYA4
feature 443138;cg18585988;NKPD1
feature 361216;cg26971423;null
feature 312076;cg20967139;ZNF385A
feature 475916;cg14052945;LANCL3
feature 393994;cg06254214;ZMYND15
feature 377611;cg04172166;null
feature 66321;cg11467141;null
feature 181011;cg02446647;EYA4
feature 377620;cg00241076;null
feature 328470;cg22337132;RPL21
feature 295703;cg04470984;null
feature 312083;cg01213231;ITGA5
feature 66328;cg13687837;null
feature 164632;cg16699174;HSPA1A
feature 66331;cg01430692;null
feature 377626;cg02097429;null
feature 377637;cg00636124;KDM8
feature 295712;cg04819714;null
feature 213796;cg24395016;ZNF862
feature 361250;cg15894581;FBXL22
feature 66342;cg20191959;null
feature 394031;cg03704673;GLTPD2
feature 230186;cg23458558;RALYL
feature 197417;cg09080746;BBS9
feature 246574;cg14176475;TTF1
feature 115502;cg02196651;LNX1
feature 328501;cg08008475;null
feature 230195;cg21163701;RALYL
feature 361271;cg00067884;HERC1
feature 328497;cg13755630;null
feature 312113;cg01810875;NCKAP1L
feature 312125;cg24020814;PDE1B
feature 181055;cg17736819;EYA4
feature 410425;cg12577610;SMARCD2
feature 115521;cg14833626;null
feature 279360;cg27135113;MICALCL
feature 181062;cg09649901;EYA4
feature 33609;cg04436964;NDUFS2
feature 33612;cg04263215;NDUFS2
feature 312138;cg13128117;PPP1R1A
feature 344906;cg23092040;null
feature 17234;cg17739643;GUCA2A
feature 50004;cg25737891;null
feature 66390;cg18969312;null
feature 82777;cg00856825;GHRL
feature 328543;cg20785336;null
feature 410461;cg16885093;CSHL1
feature 181086;cg11417496;LINC01312
feature 476007;cg09850561;TSPAN7
feature 66401;cg00205436;null
feature 197474;cg17811978;null
feature 328550;cg11588787;LNX2
feature 131940;cg08657705;null
feature 476013;cg14071112;TSPAN7
feature 33643;cg21451906;APOA2
feature 99178;cg00492055;CEP70
feature 82796;cg02053257;SEC13
feature 197484;cg03533005;BMPER
feature 476008;cg20074774;TSPAN7
feature 279413;cg12839363;null
feature 99184;cg02472414;CEP70
feature 131955;cg09729598;CDH6
feature 410487;cg03917100;SCN4A
feature 115570;cg12881854;null
feature 197488;cg13973813;BMPER
feature 377726;cg07996615;GTF3C1
feature 377721;cg01034813;GTF3C1
feature 181118;cg00590324;TCF21
feature 33665;cg01425967;PCP4L1
feature 246663;cg01719619;AK8
feature 476033;cg08327960;MID1IP1
feature 361347;cg00364357;SNX22
feature 66438;cg14691596;ANKRD30BL
feature 344962;cg16746355;SPTB
feature 33672;cg26230851;PCP4L1
feature 361359;cg23071107;SNX22
feature 33675;cg10896862;MPZ
feature 279439;cg26207102;TEAD1
feature 328590;cg11508413;GSX1
feature 328585;cg02067712;null
feature 394135;cg27658640;RNF167
feature 426897;cg07976359;null
feature 328605;cg20084504;null
feature 295839;cg14504418;BIRC3
feature 328602;cg21851351;GSX1
feature 410533;cg23556715;ICAM2
feature 410530;cg12793803;ICAM2
feature 246695;cg05001389;GFI1B
feature 443296;cg23661204;CD3EAP
feature 312233;cg20228385;OR10P1
feature 410536;cg04034685;ICAM2
feature 312235;cg18770739;OR10P1
feature 66478;cg23883265;null
feature 132018;cg05037725;null
feature 345015;cg04529868;CHURC1
feature 17331;cg18382599;PPIH
feature 295858;cg18170491;BIRC2
feature 99254;cg15779737;null
feature 426942;cg12963261;ONECUT3
feature 99259;cg02744524;null
feature 230335;cg00159780;null
feature 263096;cg03417182;SORBS1
feature 328645;cg19737787;null
feature 99264;cg01711746;null
feature 164801;cg22672830;NEU1
feature 328640;cg15992563;null
feature 263105;cg06282596;SORBS1
feature 33734;cg19240319;null
feature 394176;cg16045459;CAMTA2
feature 148420;cg08452061;DUSP1
feature 426958;cg10640845;ONECUT3
feature 33736;cg27566812;null
feature 263112;cg11028075;SORBS1
feature 345032;cg10534904;RAB15
feature 33745;cg24422489;FCGR2A
feature 164819;cg15745385;NEU1
feature 312278;cg24885556;ITGA7
feature 82899;cg19764594;LINC00606
feature 50131;cg25765130;FAM84A
feature 82900;cg11417259;LINC00606
feature 426960;cg20711812;ONECUT3
feature 99286;cg23637494;FOXL2
feature 443354;cg19419246;null
feature 328664;cg22578843;PDX1
feature 82908;cg21123160;SLC6A11
feature 17374;cg11856487;P3H1
feature 50147;cg04072270;null
feature 33766;cg24426536;null
feature 295917;cg02061229;MMP10
feature 99306;cg09373597;FOXL2NB
feature 197613;cg24061141;TBX20
feature 66542;cg12311815;GPR39
feature 459752;cg05295038;NTSR1
feature 197616;cg12467749;TBX20
feature 295920;cg13759446;MMP1
feature 99319;cg10362172;null
feature 99318;cg25503903;null
feature 361458;cg01337439;OAZ2
feature 197631;cg22584618;null
feature 197628;cg22051964;null
feature 230396;cg05463819;RMDN1
feature 1023;cg07313814;DVL1
feature 50175;cg22364205;NBAS
feature 33791;cg13139730;HSPA7
feature 99330;cg03772909;PRR23A
feature 443397;cg14200826;RTN2
feature 476163;cg00150874;BCOR
feature 345090;cg11005562;null
feature 214027;cg27408238;null
feature 66569;cg00937742;LYPD1
feature 394248;cg04974290;null
feature 328714;cg09508668;null
feature 443415;cg10717906;VASP
feature 33809;cg04567009;FCGR3B
feature 328726;cg26677584;CDX2
feature 99349;cg06508738;PRR23C
feature 312336;cg09890930;SARNP
feature 99348;cg02930239;PRR23C
feature 33813;cg19234439;FCGR3B
feature 246804;cg24267699;ABO
feature 1051;cg11414742;MXRA8
feature 50204;cg22157099;null
feature 328728;cg02550231;CDX2
feature 427035;cg10370574;REXO1
feature 50206;cg02459613;null
feature 328730;cg07213036;CDX2
feature 345114;cg23557426;FUT8
feature 443429;cg26958124;OPA3
feature 99365;cg15579567;PISRT1
feature 33828;cg18884942;FCRLA
feature 328736;cg07311313;CDX2
feature 410659;cg06939235;CEP95
feature 394275;cg02114696;ZNF232
feature 427055;cg05006231;null
feature 115757;cg22105146;TMEM165
feature 361512;cg24977462;null
feature 230449;cg10222925;DCAF4L2
feature 410676;cg16357768;SMURF2
feature 246832;cg01605984;SNORD24
feature 164922;cg27005847;SLC44A4
feature 132153;cg08450554;null
feature 197688;cg01423201;HERPUD2
feature 361530;cg26907612;PLEKHO2
feature 427073;cg00578719;KLF16
feature 115787;cg16918161;PDCL2
feature 66634;cg17081914;NCKAP5
feature 312399;cg13722634;PYM1
feature 115791;cg22871610;NMU
feature 377931;cg01459962;SGF29
feature 443464;cg16620032;GPR4
feature 427081;cg14707187;null
feature 17492;cg20282814;SLC2A1
feature 410707;cg16561266;LOC146880
feature 263249;cg06658147;ZNF518A
feature 279646;cg27205688;RRAS2
feature 181336;cg22868961;null
feature 1115;cg13053783;CCNL2
feature 50269;cg08134504;null
feature 427096;cg03290418;ABHD17A
feature 312411;cg20051772;DGKA
feature 443481;cg17286480;EML2
feature 132193;cg26647771;NPR3
feature 410720;cg09824406;PLEKHM1P1
feature 214116;cg12920361;BET1P1
feature 1128;cg16728516;MRPL20
feature 476270;cg17296858;null
feature 132201;cg10945695;null
feature 296040;cg18403606;PDGFD
feature 361577;cg16992257;SPG21
feature 312424;cg25416125;DGKA
feature 312425;cg07679948;DGKA
feature 377963;cg18530748;SULT1A1
feature 197741;cg21762695;null
feature 197746;cg18202127;null
feature 459893;cg11118665;TCFL5
feature 33907;cg20172280;OLFML2B
feature 230512;cg15230164;null
feature 17524;cg13918150;null
feature 197751;cg02650121;null
feature 50296;cg10540754;FAM49A
feature 66680;cg03454425;null
feature 443516;cg13602484;null
feature 427133;cg23957800;SCAMP4
feature 132217;cg05645904;null
feature 459899;cg14621701;null
feature 263289;cg12801391;TLL2
feature 197758;cg05744395;null
feature 148605;cg09143673;null
feature 181377;cg23090824;PDE7B
feature 132234;cg15539995;TARS
feature 33930;cg06473539;NOS1AP
feature 66698;cg23640664;null
feature 394376;cg26230658;DHX33
feature 1167;cg21837069;VWA1
feature 83089;cg07271261;VGLL4
feature 443542;cg18229731;SNRPD2
feature 328854;cg01899253;FLT1
feature 476305;cg00203804;LOC100132831
feature 427152;cg25246158;CSNK1G2
feature 115862;cg24504843;CEP135
feature 328863;cg25895961;null
feature 1180;cg09843049;VWA1
feature 99487;cg15971629;CLSTN2
feature 83102;cg08559364;VGLL4
feature 83107;cg19149463;VGLL4
feature 33954;cg03391436;NOS1AP
feature 312492;cg00026033;IKZF4
feature 312493;cg20054248;IKZF4
feature 394410;cg08554115;LOC728392
feature 427191;cg06470424;CSNK1G2
feature 246971;cg14284797;SARDH
feature 132283;cg08709576;RXFP3
feature 476349;cg06376940;DDX3X
feature 230590;cg18335796;CALB1
feature 328900;cg22681772;SLC46A3
feature 443587;cg27181142;SIX5
feature 427200;cg07696985;CSNK1G2
feature 443585;cg24466377;SIX5
feature 296140;cg20306837;GRIA4
feature 132297;cg02305687;RXFP3
feature 279759;cg24117998;CALCA
feature 361678;cg11093760;CILP
feature 132301;cg07917609;RXFP3
feature 279764;cg22085702;CALCA
feature 17617;cg03971454;TIE1
feature 312533;cg09011597;PA2G4
feature 1234;cg06377929;ATAD3B
feature 1238;cg03041700;ATAD3B
feature 459998;cg27501878;BHLHE23
feature 279773;cg05397812;CALCA
feature 328920;cg11947245;null
feature 361690;cg01192875;PARP16
feature 247011;cg14499274;VAV2
feature 296164;cg11425254;MSANTD4
feature 427236;cg26498966;MKNK2
feature 99555;cg20979852;SPSB4
feature 328940;cg09323793;MTUS2
feature 165096;cg11127603;EHMT2
feature 99562;cg00908291;SPSB4
feature 132334;cg03934354;C1QTNF3
feature 443627;cg14017460;DMWD
feature 132338;cg23051392;C1QTNF3
feature 410867;cg16352624;AXIN2
feature 214261;cg00448659;ATG9B
feature 197882;cg15975151;ELMO1
feature 328956;cg06472554;MTUS2
feature 66813;cg05648868;MAP3K19
feature 345337;cg04394967;RDH12
feature 312568;cg20839768;ZC3H10
feature 230654;cg02481848;NECAB1
feature 99583;cg20354777;SPSB4
feature 312571;cg05347567;ZC3H10
feature 247036;cg14308466;VAV2
feature 197891;cg14431020;ELMO1
feature 328964;cg15955521;MTUS2
feature 345350;cg21861211;ZFYVE26
feature 361729;cg21884421;IGDCC3
feature 443650;cg11267114;RSPH6A
feature 99591;cg03774468;PXYLP1
feature 296195;cg09213347;AASDHPPT
feature 378125;cg02358434;SPNS1
feature 443661;cg19254176;SYMPK
feature 83210;cg14843337;SYN2
feature 410893;cg16247184;CEP112
feature 66826;cg12813922;RAB3GAP1
feature 460042;cg26190686;null
feature 279817;cg25372278;CALCB
feature 115982;cg19570775;null
feature 460040;cg09675824;null
feature 476424;cg09005457;MAOB
feature 148752;cg14524724;null
feature 476436;cg05605944;MAOB
feature 460052;cg11579537;null
feature 99602;cg01335127;PXYLP1
feature 263443;cg23700044;SLIT1
feature 279837;cg23930945;INSC
feature 312605;cg07682937;MYL6B
feature 296221;cg12800047;GUCY1A2
feature 247070;cg13799898;VAV2
feature 443686;cg11716106;null
feature 50466;cg04391048;NT5C1B
feature 460069;cg14898787;HAR1B
feature 378144;cg03662014;RRN3P2
feature 148773;cg15534212;null
feature 17704;cg21387147;SZT2
feature 165160;cg20651916;ZBTB12
feature 1324;cg23244095;TMEM240
feature 1325;cg18114463;TMEM240
feature 312617;cg10784777;MYL6
feature 312619;cg12379422;MYL6
feature 34096;cg16604136;NUF2
feature 247091;cg14354430;BRD3
feature 378165;cg04872027;null
feature 165171;cg26287612;ZBTB12
feature 410932;cg00050312;PRKCA
feature 197943;cg23701676;null
feature 329008;cg17798847;SLC7A1
feature 50486;cg09140444;null
feature 378172;cg08524717;null
feature 460092;cg06187750;null
feature 230712;cg24347611;null
feature 263481;cg03028685;FRAT1
feature 460089;cg03495011;null
feature 197948;cg11932205;NME8
feature 50496;cg18011760;null
feature 247105;cg13773148;BRD3
feature 460100;cg05378861;null
feature 378177;cg09039112;null
feature 460099;cg00671600;null
feature 427328;cg24438277;AP3D1
feature 230724;cg04350120;RUNX1T1
feature 410945;cg12198934;PRKCA
feature 1352;cg16277776;SSU72
feature 50505;cg01458336;null
feature 148808;cg17547875;null
feature 1354;cg10987926;SSU72
feature 165192;cg14301635;C2
feature 427341;cg01634758;AP3D1
feature 50507;cg19614643;null
feature 443722;cg15621297;MYPOP
feature 50512;cg17314700;null
feature 476501;cg18754842;KDM6A
feature 230742;cg03760919;RUNX1T1
feature 345424;cg04147497;RAD51B
feature 329055;cg00277714;null
feature 50528;cg10521706;OSR1
feature 378209;cg07505478;null
feature 476512;cg11849673;CXorf36
feature 247147;cg14569380;null
feature 312684;cg23759554;ANKRD52
feature 460142;cg17364922;YTHDF1
feature 378219;cg05723200;null
feature 34161;cg11514338;PBX1
feature 50545;cg06530338;null
feature 378237;cg09345153;null
feature 312702;cg10806510;COQ10A
feature 247161;cg14321284;null
feature 394620;cg22919784;null
feature 165240;cg14491051;NELFE
