feature 370694;cg09851343;LMF1
feature 312492;cg00026033;IKZF4
feature 409775;cg08037401;BCAS3
feature 182440;cg02281790;STX11
feature 348328;cg03771844;FOXN3-AS2
feature 79022;cg09037813;LRRFIP1
feature 318646;cg24266450;USP30
feature 407729;cg13097573;null
feature 448702;cg24429081;TMEM86B
feature 32953;cg05919685;APCS
feature 358588;cg12491688;CASC4
feature 94397;cg03792947;BBX
feature 61629;cg21532760;INPP4A
feature 351418;cg21554139;null
feature 369861;cg27444899;RAB11FIP3
feature 32962;cg01365152;CRP
feature 273606;cg20566897;IFITM1
feature 101572;cg14226182;RARRES1
feature 365775;cg09698655;AP3B2
feature 142537;cg07336840;EGR1
feature 182478;cg04250991;null
feature 280784;cg12711760;NAV2
feature 118996;cg03658557;BMPR1B
feature 365778;cg15381098;AP3B2
feature 411857;cg06061257;SDK2
feature 20696;cg14614643;null
feature 348383;cg00769915;EFCAB11
feature 225501;cg11360768;WHSC1L1
feature 130270;cg23331303;null
feature 419047;cg14231270;B3GNTL1
feature 248034;cg14488715;NOTCH1
feature 368871;cg26768318;ADAMTS17
feature 54500;cg01362243;null
feature 394464;cg04257841;WSCD1
feature 20712;cg10971134;null
feature 111848;cg07266165;TRMT44
feature 47338;cg17401808;null
feature 336117;cg07172558;ING1
feature 453878;cg20395967;null
feature 267506;cg26724375;null
feature 171253;cg21331947;CPNE5
feature 174330;cg18397730;TRAM2
feature 474364;cg16681914;MSL3
feature 77053;cg17674726;ITM2C
feature 435451;cg08522101;BABAM1
feature 211196;cg20951255;null
feature 365829;cg16040341;HOMER2
feature 329984;cg01034396;SMAD9
feature 148741;cg12598575;BOD1
feature 270595;cg06996389;null
feature 378125;cg02358434;SPNS1
feature 228618;cg01588438;ADHFE1
feature 241930;cg21237586;null
feature 2314;cg26332488;SKI
feature 281865;cg16092786;WT1
feature 448791;cg07931190;KMT5C
feature 446740;cg00833257;SIGLEC7
feature 44307;cg00462430;SIPA1L2
feature 113941;cg19090437;TBC1D1
feature 179477;cg18283893;NT5DC1
feature 40216;cg22022747;null
feature 164124;cg10189661;LY6G6E
feature 37153;cg18221016;HMCN1
feature 150816;cg18484008;MGAT4B
feature 84259;cg01133779;RFTN1
feature 189732;cg09141965;null
feature 104742;cg03591420;null
feature 128297;cg19854293;SLC12A7
feature 416046;cg06153925;RPTOR
feature 377135;cg16508627;HS3ST2
feature 404781;cg15707978;NBR1
feature 225584;cg04848137;null
feature 387377;cg01011769;GSE1
feature 396594;cg18657751;GAS7
feature 143669;cg17288142;PCDHB4
feature 265523;cg10992686;ARL3
feature 305459;cg13217184;TAS2R19
feature 220474;cg06481462;null
feature 202041;cg05518130;WBSCR17
feature 127293;cg08767686;null
feature 11583;cg12394377;IFNLR1
feature 265540;cg06169961;WBP1L
feature 270660;cg04787271;null
feature 411975;cg03249131;null
feature 383303;cg26719831;FHOD1
feature 460100;cg05378861;null
feature 311616;cg07035173;HOXC11
feature 162116;cg25075776;null
feature 471360;cg05150697;null
feature 188744;cg27418434;PRKAR1B
feature 95562;cg02942644;TIMMDC1
feature 326984;cg20880234;ZMYM2
feature 192850;cg22663933;WIPI2
feature 385363;cg04060571;BCAR1
feature 57687;cg14811806;null
feature 123226;cg01012445;LRBA
feature 181593;cg00415333;IL22RA2
feature 107869;cg05318361;null
feature 93533;cg09232103;LINC00879
feature 106844;cg00144335;ZNF718
feature 312676;cg04005793;NABP2
feature 413030;cg13298379;UNK
feature 35169;cg11192688;FMO1
feature 304486;cg04956511;PTPN6
feature 46438;cg02556381;null
feature 324963;cg03782130;SFSWAP
feature 141674;cg16151960;JADE2
feature 278893;cg01786828;SWAP70
feature 262507;cg22800233;null
feature 162160;cg25607383;DDR1
feature 424306;cg13850825;null
feature 72053;cg11556416;STAT1
feature 338290;cg08034413;DCUN1D2
feature 474480;cg26310256;EGFL6
feature 252280;cg26231267;CAMK1D
feature 303480;cg15002721;FGF23
feature 362883;cg20648004;null
feature 53639;cg20957316;SRSF7
feature 323980;cg17157798;TMEM132D
feature 323983;cg17718276;TMEM132D
feature 6546;cg25369015;SLC25A33
feature 238992;cg22728385;null
feature 87447;cg06117855;CLEC3B
feature 72089;cg17167076;MYO1B
feature 29082;cg24854435;LOC388692
feature 359833;cg06999762;null
feature 215453;cg02344820;null
feature 460184;cg18412834;FLJ16779
feature 145827;cg07433178;SYNPO
feature 220583;cg02195405;null
feature 462241;cg27037013;null
feature 92582;cg02336104;FOXP1
feature 55721;cg05403316;null
feature 79275;cg16101252;ILKAP
feature 172457;cg09710605;TAF8
feature 60843;cg03065383;KCNIP3
feature 418230;cg26149244;null
feature 48560;cg15375488;null
feature 286135;cg10248302;MIR611
feature 111029;cg08180183;TBC1D14
feature 18871;cg18690385;MOB3C
feature 269747;cg11334733;null
feature 360892;cg02471940;null
feature 87486;cg18483487;null
feature 188866;cg03143486;DNAAF5
feature 305604;cg13063967;LRP6
feature 465351;cg15835091;null
feature 152003;cg10759602;FOXF2
feature 459205;cg16928869;CDH4
feature 246209;cg14192957;null
feature 324038;cg13123585;TMEM132D
feature 349639;cg20050420;CLMN
feature 400837;cg09774854;RHOT1
feature 149959;cg25407053;null
feature 164302;cg21091985;null
feature 82382;cg11084334;LHFPL4
feature 430548;cg00428638;INSR
feature 472531;cg19206437;CELSR1
feature 291281;cg10287485;null
feature 172500;cg19489494;GUCA1A
feature 19927;cg16999602;SLC1A7
feature 300508;cg18390528;KIRREL3
feature 170462;cg10167849;HMGA1
feature 31197;cg07818949;SHC1
feature 194015;cg08604097;NXPH1
feature 170466;cg19513004;HMGA1
feature 46560;cg17518550;GCSAML
feature 90595;cg21188533;CACNA1D
feature 346593;cg01770355;VSX2
feature 422369;cg06629130;null
feature 281059;cg02026246;GAS2
feature 301550;cg14778531;NTM
feature 311790;cg27441225;HOXC4
feature 270830;cg25524464;null
feature 177647;cg22947748;null
feature 135660;cg02377021;MRPS27
feature 202221;cg23513211;TRIM50
feature 157170;cg27641532;null
feature 335351;cg05372727;null
feature 157172;cg25106913;null
feature 193013;cg18273464;TNRC18
feature 128505;cg06801385;null
feature 29176;cg20065266;null
feature 40440;cg25876656;SERTAD4-AS1
feature 61944;cg20147389;CHST10
feature 136697;cg12126786;SCAMP1
feature 17916;cg00014900;DPH2
feature 293371;cg23279335;null
feature 352773;cg15830544;null
feature 399874;cg06745955;PROCA1
feature 329229;cg08003353;null
feature 253448;cg25195795;SKIDA1
feature 151049;cg10493330;MAPK9
feature 33293;cg26875665;NHLH1
feature 411145;cg02018291;PITPNC1
feature 226833;cg14219543;null
feature 130580;cg05625559;null
feature 320019;cg05513274;null
feature 424465;cg00806245;null
feature 377372;cg09108394;PRKCB
feature 164376;cg10158997;VWA7
feature 221721;cg06872010;FAM66A
feature 419357;cg11684611;TYMS
feature 317978;cg19664290;null
feature 435751;cg07066898;UNC13A
feature 277025;cg04720330;PHLDA2
feature 39461;cg13946929;CDK18
feature 178725;cg02774282;null
feature 214571;cg12616484;CHPF2
feature 198185;cg19113326;POU6F2
feature 202281;cg05666820;FZD9
feature 354856;cg14425199;SNORD115-9
feature 58926;cg17105139;LBX2-AS1
feature 214577;cg12926839;CHPF2
feature 462388;cg16066237;RUNX1
feature 298545;cg21561712;SLC37A4
feature 291379;cg12319507;FGF3
feature 127545;cg01970407;AHRR
feature 318009;cg15791180;NUAK1
feature 269881;cg09732711;null
feature 153149;cg14242460;LYRM4
feature 349764;cg19909117;null
feature 102978;cg04365699;null
feature 27212;cg10440578;SYCP1
feature 415306;cg00483030;CBX4
feature 42573;cg01393234;null
feature 473673;cg13092901;TYMP
feature 346698;cg11718443;LTBP2
feature 10835;cg04297819;HSPG2
feature 260695;cg16468905;null
feature 100951;cg07089056;null
feature 4696;cg04621944;null
feature 410205;cg17041511;null
feature 380506;cg08645400;null
feature 20064;cg06830268;DMRTB1
feature 213601;cg16966315;null
feature 350822;cg12197579;null
feature 166503;cg23177883;AGER
feature 390765;cg03286774;SPG7
feature 46696;cg13385794;null
feature 354920;cg13130934;null
feature 184946;cg15363979;SLC22A3
feature 350836;cg16738180;MEG3
feature 152188;cg26908825;GMDS
feature 141955;cg24708145;DCANP1
feature 44677;cg20165459;null
feature 166542;cg16602460;PBX2
feature 455306;cg01649647;MYL9
feature 351883;cg04846720;TRAF3
feature 466578;cg02210498;CRKL
feature 457360;cg03082779;ZMYND8
feature 298643;cg10493324;null
feature 139925;cg21130861;TNFAIP8
feature 215700;cg10602282;null
feature 450193;cg24368848;ZSCAN1
feature 437919;cg19738281;ZNF536
feature 53914;cg22389308;null
feature 208543;cg00866870;LAMB1
feature 301721;cg25585185;OPCML
feature 89761;cg19888870;DOCK3
feature 40609;cg14264194;RD3
feature 348833;cg02082843;FBLN5
feature 203428;cg02407048;GSAP
feature 368301;cg26022093;null
feature 276138;cg19586845;null
feature 344746;cg10018167;SYNE2
feature 232114;cg20039257;NCALD
feature 243383;cg13422870;STX17
feature 428722;cg17672101;ZFR2
feature 78523;cg02139853;AGAP1
feature 443068;cg27644247;RELB
feature 183993;cg05282260;null
feature 273094;cg16300838;TUBGCP2
feature 448192;cg00864768;MBOAT7
feature 375490;cg00332307;PRM2
feature 349908;cg10454568;AK7
feature 362198;cg27130493;SMAD3
feature 324304;cg20643945;RIMBP2
feature 170716;cg09027493;TCP11
feature 92895;cg23170981;null
feature 280295;cg04167854;SERGEF
feature 6883;cg25013184;null
feature 366304;cg25510609;AKAP13
feature 13031;cg23931121;AHDC1
feature 300771;cg01681098;FLI1
feature 45803;cg11256132;C1orf100
feature 144105;cg15389519;PCDHGB4
feature 43756;cg05347845;ACTA1
feature 453355;cg00960305;LINC00261
feature 19182;cg16401668;null
feature 171757;cg18705155;KCNK5
feature 61168;cg02582940;FER1L5
feature 366326;cg06371489;KLHL25
feature 423664;cg06627151;DSEL
feature 260858;cg18712809;ZMIZ1
feature 296702;cg08012199;ARHGAP20
feature 112379;cg06857289;null
feature 355071;cg05881762;UBE3A
feature 240387;cg01746241;KIAA1161
feature 208642;cg25365783;PNPLA8
feature 51970;cg20516209;EMILIN1
feature 485124;cg02105393;ZFY
feature 470793;cg05957603;XPNPEP3
feature 449303;cg14981055;ZNF444
feature 260886;cg17753789;ZMIZ1
feature 475922;cg26584339;XK
feature 163607;cg20826416;PRRC2A
feature 163605;cg21834739;PRRC2A
feature 329501;cg11668133;null
feature 218910;cg12797746;null
feature 321307;cg11510131;PXN
feature 236320;cg00084798;null
feature 401184;cg13241663;null
feature 82729;cg16188589;IRAK2
feature 324398;cg00512917;null
feature 98093;cg26958735;null
feature 282410;cg02081846;CD44
feature 297770;cg05921324;APOA4
feature 115502;cg02196651;LNX1
feature 101169;cg21538020;SLC33A1
feature 200499;cg05170183;VOPP1
feature 23344;cg22670572;null
feature 426807;cg08660999;MBD3
feature 74547;cg05890855;null
feature 278322;cg14838970;PPFIBP2
feature 34615;cg27532130;POU2F1
feature 116538;cg03173722;RUFY3
feature 344894;cg17306261;PPP1R36
feature 259903;cg05697785;SYNPO2L
feature 430907;cg22083199;EVI5L
feature 162620;cg02652369;CCHCR1
feature 87870;cg13303179;PRSS50
feature 275269;cg07737063;null
feature 218951;cg02548444;null
feature 100170;cg27606499;ZIC4
feature 218959;cg20860124;null
feature 344905;cg13632328;null
feature 144204;cg21928406;PCDHGA4
feature 163666;cg13514037;PRRC2A
feature 194386;cg22745781;ISPD
feature 270166;cg07933035;MGMT
feature 10067;cg13100118;CAPZB
feature 261968;cg12026992;null
feature 100185;cg12892506;ZIC4
feature 360283;cg19619909;ALDH1A2
feature 213857;cg08061040;null
feature 136033;cg22771548;ARHGEF28
feature 389986;cg06394058;CBFA2T3
feature 144232;cg23244790;PCDHGA4
feature 330606;cg22956205;null
feature 165737;cg14037463;TNXB
feature 375662;cg09805403;GSPT1
feature 341865;cg26620157;PAX9
feature 157552;cg00448814;NKAPL
feature 117620;cg19595012;PRDM8
feature 170868;cg00247631;TULP1
feature 70523;cg12268637;HOXD12
feature 290692;cg26525861;LRP5
feature 177027;cg03720838;MDN1
feature 448389;cg03602500;KIR3DX1
feature 89986;cg05541640;ABHD14B
feature 75652;cg11348442;TUBA4B
feature 31623;cg11736940;PKLR
feature 62352;cg13411038;SLC9A2
feature 32656;cg11080915;FCRL5
feature 281492;cg14161359;KCNA4
feature 134035;cg00234384;null
feature 394135;cg27658640;RNF167
feature 192401;cg01541347;FOXK1
feature 340882;cg20911718;NYNRIN
feature 413598;cg12472603;MXRA7
feature 199578;cg20195319;TNS3
feature 381854;cg27112795;null
feature 348057;cg01733928;null
feature 60317;cg26908932;null
feature 51105;cg25184664;C2orf44
feature 412580;cg10590861;ARMC7
feature 9125;cg10966582;MST1L
feature 380835;cg06207201;SNX20
feature 9127;cg04365481;MST1L
feature 206756;cg22082800;PCOLCE
feature 481194;cg06617418;AMMECR1
feature 219059;cg00732232;null
feature 324532;cg09812406;STX2
feature 373686;cg05107535;null
feature 353203;cg04725566;AHNAK2
feature 75702;cg03970036;PTPRN
feature 185269;cg17684207;PACRG-AS1
feature 395199;cg10651007;PLSCR3
feature 360380;cg25595834;null
feature 455608;cg10642330;BLCAP
feature 210877;cg05426601;CPA1
feature 67518;cg02527047;KIF5C
feature 24511;cg06176691;FNBP1L
feature 446407;cg24220046;SHANK1
feature 52172;cg23920389;EIF2B4
feature 322507;cg13010344;ARL6IP4
feature 23504;cg21841239;COL24A1
feature 105425;cg25538664;null
feature 304085;cg24853956;IFFO1
feature 33745;cg24422489;FCGR2A
feature 27603;cg11708721;PTGFRN
feature 347094;cg13643339;TGFB3
feature 3028;cg26785499;null
feature 368592;cg00590134;null
feature 122839;cg01022871;null
feature 233429;cg16866373;NOV
feature 349139;cg14076496;TMEM251
feature 462813;cg20515679;KCNJ6
feature 351199;cg15508280;MIR496
feature 143326;cg17882028;HARS
feature 103391;cg21635203;SOX2
feature 473063;cg19547694;BRD1
feature 165859;cg05483184;TNXB
feature 170983;cg14562064;LHFPL5
feature 334816;cg00529958;ZIC5
feature 173028;cg23781719;ABCC10
feature 322531;cg13037550;PITPNM2
feature 368619;cg08828594;null
feature 413682;cg21868063;MGAT5B
feature 389117;cg03262260;null
feature 65530;cg15634735;SAP130
feature 322553;cg05132828;PITPNM2
feature 367608;cg07725123;SLCO3A1
