feature 478215;cg16273251;PAGE3
feature 31912;cg11717597;MEX3A
feature 312492;cg00026033;IKZF4
feature 232360;cg18168101;BAALC-AS2
feature 162222;cg23142900;GTF2H4
feature 229038;cg15299057;null
feature 344746;cg10018167;SYNE2
feature 219059;cg00732232;null
feature 164018;cg02304584;null
feature 249266;cg18334288;DIP2C
feature 56754;cg10500391;null
feature 48819;cg19240637;RNF144A
feature 377009;cg00750555;null
feature 84150;cg21634628;BTD
feature 36024;cg10821136;TOR3A
feature 141498;ch.5.2444790R;VDAC1
feature 349629;cg05348776;CLMN
feature 32953;cg05919685;APCS
feature 318397;cg22330512;WSCD2
feature 382142;cg26955845;ADGRG1
feature 269242;cg15794873;null
feature 393401;cg22173019;SHPK
feature 277188;cg14991004;OSBPL5
feature 459205;cg16928869;CDH4
feature 236998;cg11324259;CYP11B2
feature 178629;cg15944966;FOXO3
feature 117446;cg09726866;FRAS1
feature 147909;cg17782848;KCNIP1
feature 408015;cg01734062;TMEM92
feature 334030;cg19034505;null
feature 196044;cg27313941;HOXA6
feature 352459;cg10910286;null
feature 401096;cg03297192;CCL11
feature 82382;cg11084334;LHFPL4
feature 29136;cg27512510;null
feature 362198;cg27130493;SMAD3
feature 469460;cg02179764;MPST
feature 453587;cg01454519;CST5
feature 98006;cg05835982;TRH
feature 347357;cg16759100;null
feature 7388;cg13863764;DISP3
feature 31197;cg07818949;SHC1
feature 248028;cg14479303;NOTCH1
feature 29155;cg20300343;null
feature 369377;cg26155802;OR4F6
feature 395235;cg25617307;NLGN2
feature 100326;cg13528513;AGTR1
feature 194021;cg15285250;NXPH1
feature 280041;cg03198203;PLEKHA7
feature 1521;cg12048375;CDK11A
feature 137712;cg25965290;CETN3
feature 197616;cg12467749;TBX20
feature 414451;cg11752857;DNAH17
feature 306162;cg09736112;PTPRO
feature 112630;cg18873097;null
feature 259316;cg12873350;UNC5B
feature 99318;cg25503903;null
feature 40440;cg25876656;SERTAD4-AS1
feature 376572;cg27558006;CCP110
feature 281854;cg16463460;WT1
feature 324350;cg14124768;RIMBP2
feature 100603;cg05684266;null
feature 176382;cg00270497;RIPPLY2
feature 322553;cg05132828;PITPNM2
feature 336632;cg21218053;null
